No.,Texto
221,"Como ya entendieron que no les funciona criticar nuestro plan de seguridad, la oposición ahora dice que las cifras son manipuladas por el Gobierno. ¿Pero cómo se podría manipular la realidad en la calle, en las comunidades, en la vida diaria de la gente? #GuerraContraPandillas"
222,"0 homicidios. Los que critican nuestra estrategia de seguridad, tendrán una tarea difícil ante esta nueva realidad que vive nuestro país. Seguimos… #GuerraContraPandillas"
223,"Como hacemos todas las semanas, este día, el Ministro @merino_monroy entregó más equipo a nuestras tropas. Fusiles de asalto Arad, fusiles M-4, chalecos antibalas y cascos tácticos, valorados en 4.6 millones de dólares.

El equipo fue entregado a efectivos militares que se encuentran apoyando el #PlanControlTerritorial, a nivel nacional. El objetivo es que nuestros héroes tengan las herramientas necesarias para para ganar la #GuerraContraPandillas Dios bendiga a nuestros soldados 🇸🇻"
224,"Destruir a las pandillas que estaban tan enraizadas en la sociedad salvadoreña, no es un trabajo fácil; de hecho, siempre se creyó que era imposible. Lograrlo requiere de muchas acciones simultáneas. Una de ellas es destruir sus símbolos, su sentido de pertenencia, su memoria.

Por cierto, los encargados de destruir las tumbas de los pandilleros son todos prisioneros, resarciendo un poco del daño que le hicieron a la sociedad."
225,0 homicidios. Los realidad y los RESULTADOS siempre terminan imponiéndose a los discursos falsos. Seguimos… #GuerraContraPandillas
226,"El Estado de Excepción es una herramienta, no una varita mágica. Aprobar un Estado de Excepción sin una estrategia contra los terroristas, no sirve de nada. Los gobernantes deben entender que los problemas no se resuelven por decreto, sino con acciones."
227,"Este terrorista fue encarcelado 24 veces. ¡24 VECES! Y 24 veces fue liberado por el sistema judicial corrupto que estamos reformando. Quiénes exigen que regresemos a ese sistema judicial, son los que quieren que “El Morro”, y muchos más, sigan asesinando a nuestro pueblo."
228,Compartiendo nuestra estrategia de seguridad con el resto del mundo… #GuerraContraPandillas
229,"0 homicidios. Octubre 2022, camino a ser el mes más seguro de nuestra historia. Los resultados hablan por sí solos. Seguimos… #GuerraContraPandillas"
230,"0 homicidios. Hasta hace unos años, nuestro país era literalmente EL PAÍS MÁS PELIGROSO DEL MUNDO. Mírennos ahora, el país más seguro en América Latina 🇸🇻 Gracias a Dios. Seguimos… #GuerraContraPandillas"
231,"0 homicidios. Es increíble como las “organizaciones de derechos humanos” atacan esta nueva realidad en El Salvador, al mismo tiempo que callan ante las masacres que los criminales continúan perpetrando en casi toda Latinoamérica. ¿Qué es lo que buscan? Nosotros seguimos…"
232,0 homicidios. No hay argumentos que puedan ganarle a los RESULTADOS. Seguimos… #GuerraContraPandillas
233,"0 homicidios. Cuando se atrapa al lobo, se salva a las ovejas. Seguimos… #GuerraContraPandillas"
234,"0 homicidios. No será fácil, pero construiremos un país dónde nuestra gente deje de emigrar y empiecen a querer regresar. Seguimos…"
235,Algunos datos que resaltar: Aprobación del Presidente: 87% Rumbo correcto del país: 83% Trabajo en seguridad: 94% Trabajo en educación: 91% Trabajo en salud: 88%
236,Los Derechos Humanos.
237,Reunión de trabajo con Gabinete de Seguridad https://nitter.net/i/broadcasts/1MYxNgRkaAvKw
238,0 homicidios. Los resultados muestran que nuestro país escogió el camino correcto. Seguimos… #GuerraContraPandillas
239,0 homicidios. Gracias a Dios. Seguimos… #GuerraContraPandillas
240,Construyendo el país que todos soñamos. Seguimos… #GuerraContraPandillas
241,"La MS13 y el Barrio 18 no son son grupos de delincuentes comunes. Son organizaciones terroristas internacionales. Que les quede claro, a todos, que no vamos a retroceder hasta eliminar su existencia en nuestro país. Seguimos… #GuerraContraPandillas"
242,"Un día trágico para nuestro país, pero al menos no se sumaron homicidios a la tragedia. Gracias a Dios."
243,😉
244,0 homicidios. El derecho humano más importante es el derecho a la vida. Seguimos… #GuerraContraPandillas
245,El cerco militar en Comasagua ha sido todo un éxito. La misma población lo reconoce. RESULTADOS. The gang crackdown in Comasagua has been a complete success. The population itself recognizes it. RESULTS.
246,0 homicidios. RESULTADOS. Seguimos… #GuerraContraPandillas
247,⌛️
248,"Este sábado, detectamos que la clica Witmer Locos Salvatruchos, del Programa Libertad de la MS13, aún está activa y fue la responsable de un homicidio en Comasagua. 2,000 soldados han cercado todo el municipio. Sabemos que los pandilleros siguen ahí dentro. #CercoComasagua

Los equipos STO de la Policía entrarán en el cerco para identificar y neutralizar a los pandilleros. Los terroristas que logren evadir los operativos, no podrán escapar del cerco, el cual se irá cerrando cada vez más, hasta que el último pandillero sea atrapado. #CercoComasagua

En unos días, la clica Witmer Locos Salvatruchos, que atemorizó a Comasagua durante décadas, dejará completamente de existir. #CercoComasagua"
249,🔥
250,"No. Entréguense a la justicia y paguen la pena por los crímenes que cometieron, esa es la única alternativa que tendrán. De lo contrario, enfréntense a las consecuencias."
251,👀
252,0 homicidios. Septiembre está a punto de convertirse en el mes más seguro de nuestra historia. Dios quiera y así sea. Seguimos… #GuerraContraPandillas
253,"0 homicidios. Dentro de 16 meses, los salvadoreños tendrán el poder de decidir si quieren regresar al pasado, continuar el camino o probar otro camino. Mientras tanto, seguimos… #GuerraContraPandillas"
254,"Otro día con 0 homicidios. Lo que solo pasó una vez en una década, ahora es la nueva realidad de los salvadoreños. Y no vamos a regresar al pasado. Seguimos… #GuerraContraPandillas"
255,0 homicidios. Las palabras deben ir acompañadas de resultados. Seguimos… #GuerraContraPandillas
256,My interview with @TuckerCarlson Mi entrevista con @TuckerCarlson (subtítulos en español)
257,0 homicidios. Las palabras deben ir acompañadas de resultados. Seguimos… #GuerraContraPandillas
258,"0 homicidios. Con estos resultados tan contundentes, queda claro que los congresistas de otros países deberían de preocuparse por los problemas de sus ciudadanos, en lugar de estar metiéndose adonde no los hemos invitado. Nosotros seguimos… #GuerraContraPandillas"
259,"0 homicidios. Mientras unos congresistas de otro país quieren que regresemos al pasado de muerte y destrucción que vivió El Salvador… Nosotros seguimos demostrando que, sin ellos, estamos mucho mejor. #GuerraContraPandillas"
260,"0 homicidios. Y algunos políticos extranjeros se preguntan por qué el 95% de los salvadoreños aprueban la #GuerraContraPandillas Desconocen la realidad de nuestro país y aún así pretenden dictarnos qué hacer. Por suerte, somos un país soberano e independiente 😎 Seguimos…"
261,"0 homicidios. Para los que se preguntan, ¿por qué los salvadoreños apoyan la #GuerraContraPandillas? La respuesta es sencilla: RESULTADOS. Seguimos…"
262,"Ya rompimos el círculo vicioso de las pandillas, que asediaban y asesinaban a nuestros estudiantes, pero las razones que crearon ese monstruo aún siguen ahí y para que no vuelva a crearse, debemos invertir en el futuro. Y lo haremos como nunca antes se vio en El Salvador 🇸🇻"
263,0 homicidios. Seguimos… #GuerraContraPandillas
264,"Alguien en la oposición dijo: “sí, el Régimen de Excepción es popular, no quiere decir que sea bueno”. No señor, popular es 60%… 95% es prácticamente TODO EL PUEBLO SALVADOREÑO (tomando en cuenta que el 2% no respondió). Ni los familiares de los pandilleros están en contra.

Aquí la encuesta completa, publicada hoy por @cidgallup: https://www.cidgallup.com/blog-details.php?publication=MjIzTVlfU0VDUkVUX1NUVUZG&fbclid=IwAR0aeMjbxfBrXW2L0YfhDckbzoFUN0kMpvXIPHHtS82qG4VzdpDartMTNTc"
265,"Nueva encuesta de CID Gallup: 95% de los salvadoreños aprueban nuestro trabajo en seguridad. ¡NOVENTA Y CINCO POR CIENTO! ¿Ven cómo la mayoría de los “periodistas” no cubren este apoyo GIGANTESCO a la #GuerraContraPandillas? Eso es porque no son periodistas, sino activistas."
266,The new CID Gallup poll is out: 95% of Salvadorans approve of our job on security. NINETY FIVE PERCENT! See how most of the legacy media won’t cover this GIGANTIC support for our war on gangs? That's because they don't report the truth and are just promoting their agendas.
267,Termina el cuarto día de septiembre. Los 4 sin homicidios. Hace pocos años éramos literalmente el país más inseguro del mundo. Ahora estamos en camino a ser el más seguro de América. Seguimos… #GuerraContraPandillas
268,Septiembre cierra su tercer día. Los 3 sin homicidios. Venimos de ser el país más peligroso del mundo y nos encaminamos a ser el más seguro de América. Gracias a Dios. Seguimos… #GuerraContraPandillas
269,Otro día más con 0 homicidios. Seguimos… #GuerraContraPandillas
270,Septiembre inicia también con 0 homicidios. Seguimos… #GuerraContraPandillas
271,"Este día, nuestra División Antinarcóticos destruyó 2,290 kilos de cocaína. Esta droga tiene un valor aproximado de 91 millones de dólares y fue decomisada a 7 extranjeros, como resultado del #PlanControlTerritorial"
272,0 homicidios. Julio y agosto 2022 se convierten en los dos meses más seguros de nuestra historia. Seguimos… #GuerraContraPandillas
273,0 homicidios. Agosto 2022 estará a un paso de julio 2022 (el mes más seguro de nuestra historia). Seguimos… #GuerraContraPandillas
274,"ESTE VIDEO LO TOMÉ DE REDES SOCIALES: Una de las zonas más peligrosas de nuestro país, donde antes no entraba ni la Policía, ahora libre de pandillas. Como se puede ver, la calle aún está oscura y sucia, era una zona totalmente roja, pero al menos ya está segura. Paso a paso🇸🇻"
275,CERO HOMICIDIOS. Seguimos… #GuerraContraPandillas
276,"Capturamos a la novena silla (jefatura), de las 15 que tenía la MS-13 en su estructura. Byron Arístides Salazar, alias Sleepy, es una de las llaves que dirigían el funcionamiento de las 430 clicas a nivel nacional. Ya saldrán las ONG a pedir derechos humanos para este asesino."
277,"ACTUALIZACIÓN: En el camino hacia nuestras costas, nuestra Fuerza Naval encontró otra caleta en la pequeña embarcación interceptada el día sábado, ascendiendo la incautación de cocaína a 1.35 toneladas, valoradas en 33 millones de dólares. #PlanControlTerritorial"
278,"Se incautó la pequeña embarcación y la droga, y se arrestó a sus 2 tripulantes, dos ecuatorianos."
279,"Nuestra Fuerza Naval acaba de realizar otra incautación de cocaína, esta vez a 480MN al suroeste de Acajutla, Interceptaron una pequeña embarcación, que transportaba aproximadamente 700 kg de cocaína, valorados en más de 17 millones de dólares. #PlanControlTerritorial"
280,CERO HOMICIDIOS. ¿”Periodistas”? ¿Están ahí? Nosotros seguimos… #GuerraContraPandillas
281,"Hoy nuestra @PNCSV cumple 30 años desde su fundación. Durante este Gobierno, demostramos que la seguridad es un eje transversal para el desarrollo de El Salvador…

Pero nada de esto sería posible sin el sacrificio de los miles de hombres y mujeres valientes que cada día arriesgan su vida para brindarnos seguridad y que están trabajando sin cansancio hasta lograr ganar la #GuerraContraPandillas.

Las palabras se quedan cortas, pero sepan que tienen el respeto, el cariño y el agradecimiento de todos los salvadoreños honrados, y el mío. ¡Felicidades Policías! Dios los bendiga siempre 🇸🇻"
282,"La noticia más importante del siglo en nuestro país, no es material para un tan solo reportaje de los “periodistas” y los “importantísimos medios de comunicación”. ¿Extraño? No, ya sabemos que solo son activistas políticos. Nosotros seguimos… #GuerraContraPandillas"
283,"Los “periodistas” y los medios de comunicación siguen sin reportar esto. Algo que hasta hace poco era impensable en nuestro país. ¿Raro, no? Nosotros seguimos… #GuerraContraPandillas"
284,Aunque los “periodistas incómodos” y los medios propiedad de los poderes fácticos no hablen de esto: 0 homicidios. Seguimos… #GuerraContraPandillas
285,"0 homicidios. ¿Han notado como estos logros históricos en seguridad no son cubiertos por los supuestos “periodistas incómodos”? ¿No son noticia? La verdad es que no son periodistas, son simples activistas políticos de oposición. Nosotros seguimos… #GuerraContraPandillas"
286,0 homicidios. Seguimos… #GuerraContraPandillas
287,0 homicidios. Seguimos… #GuerraContraPandillas
288,"“Quien salva un lobo, sacrifica a las ovejas”. Aunque algunos gobiernos y ONGs nos “exigen” proteger a los pandilleros, nosotros estamos para proteger a la población honrada, que por PRIMERA VEZ en décadas, puede sentir lo que significa vivir verdaderamente en paz. Seguimos…"
289,"Si anualizamos el mes de julio, la tasa sería de 2.19 homicidios anuales por cada 100,000 habitantes. Comparando con 2021, seríamos, por mucho, el país más seguro de toda América Latina:"
290,Julio 2022 se convierte en el mes más seguro en la historia de El Salvador 🇸🇻 0 homicidios. Seguimos… #GuerraContraPandillas
291,0 homicidios. Seguimos… #GuerraContraPandillas
292,"Y para asegurarnos de ello, hemos desplegado decenas de miles de soldados, policías y guarda vidas en todos los sitios turísticos, pueblos, volcanes, playas, lagos, parques, eventos religiosos, deportivos y culturales. Paso a paso, construiremos el país que todos soñamos 🇸🇻"
293,"Los salvadoreños disfrutaremos, por primera vez en 6 décadas, unas Vacaciones Agostinas con total seguridad. Gracias a la #GuerraContraPandillas, ahora podemos ir a cualquier rincón de nuestro país, a cualquier hora del día, sin ser víctimas de la delincuencia."
294,"Hoy, a las 4am lanzamos el plan #TransporteSeguro, con el que combatiremos los asaltos y robos que aún se dan en el transporte público de pasajeros.

Sin descuidar la #GuerraContraPandillas y el #PlanControlTerritorial, que han transformado a El Salvador, del país más peligroso del mundo a uno de los países más seguros del continente, hemos lanzado este otro plan, que brindará seguridad ante asaltantes comunes y carteristas.

Este tipo de delitos, si bien son mucho menores y no generan luto como los crímenes de las pandillas, tampoco pueden ser permitidos, si queremos construir el país que soñamos.

Esta madrugada, 2,000 elementos de la @FUERZARMADASV y @PNCSV, fueron desplegados para abordar los buses y no solo brindar seguridad a los salvadoreños, sino también identificar y sacar de las calles a estos delincuentes, quienes irán a acompañar a los pandilleros a las cárceles."
295,0 homicidios. Seguimos… #GuerraContraPandillas
296,Después de ser el país más peligroso del mundo… Estamos en camino a ser el país más seguro de América Latina. Y seguimos…
297,0 homicidios. Seguimos… #GuerraContraPandillas
298,¡Lo estamos logrando El Salvador! 8 días consecutivos sin homicidios. Seguimos… #GuerraContraPandillas
299,"Pocos creían que, en tan poco tiempo, tendríamos tanto éxito. Gracias a Dios. 0 homicidios. Seguimos… #GuerraContraPandillas"
300,"Puedo aburrirlos con estas actualizaciones, pero solo un salvadoreño sabe lo histórico que son estos números y lo que sentimos como país al ver todo lo que estamos cambiando. 0 homicidios. Seguimos… #GuerraContraPandillas"
301,"Hace exactamente un mes, les anunciaba la construcción del… CENTRO DE CONFINAMIENTO DEL TERRORISMO. Así va su construcción, estará listo dentro de 60 días. Tendrá espacio para 40,000 terroristas, quienes estarán incomunicados del mundo exterior. #GuerraContraPandillas"
302,"Parecería increíble, pero gracias a Dios, otro día sin homicidios en todo nuestro país 🇸🇻 El Salvador, el que hace uno años era el país más peligroso del mundo, en camino a ser el país más seguro de América Latina. Seguimos… #GuerraContraPandillas"
303,0 homicidios. Seguimos… #GuerraContraPandillas
304,0 homicidios. Seguimos… #GuerraContraPandillas
305,"Esta mañana 10 terroristas emboscaron a nuestros soldados en Nueva Concepción, Chalatenango. En el enfrentamiento, un soldado resultó herido de gravedad, lastimosamente murió en el Hospital Militar.

Ya capturamos al primer terrorista involucrado y seguimos en el operativo para capturarlos a todos. Estos terroristas pagarán caro la vida de nuestro héroe, no importa donde se escondan, vamos a encontrarlos.

Los terroristas que emboscaron y asesinaron a nuestro héroe con tácticas guerrilleras, son los que defienden algunos en la “comunidad internacional” y las mal llamadas “ONGs de derechos humanos”. Al mismo tiempo, la oposición pide dinero para “indemnizarlos”. Cínicos."
306,¿Cuándo habían querido tanto a un Ministro de Defensa?
307,0 homicidios. 1 homicidio en todo lo que va de julio. Seguimos… #GuerraContraPandillas
308,"0 homicidios. A pesar de la tormenta, seguimos… #GuerraContraPandillas"
309,"“Robiño”, el terrorista de la 18-S que fue abatido luego de disparar contra los agentes que llegaron a capturarlo por el homicidio de nuestros héroes, tenía un plan de fuga apoyado por la 18-S de Guatemala. Las llamadas “pandillas” son organizaciones terroristas internacionales."
310,"0 homicidios. Y todos los terroristas que asesinaron a nuestros policías: capturados, en custodia hospitalaria o fallecidos. Seguimos… #GuerraContraPandillas"
311,"On Tuesday, 3 police officers were murdered by the 18-S gang. The terrorists were apprehended today, but this was the message I gave that night. With subtitles, so the international community understands what we are dealing with. We expect solidarity, not condemnations."
312,"5 fueron los terroristas de la 18-S que asesinaron a nuestros héroes. Uno de ellos fue herido en el enfrentamiento y está en custodia en un hospital. Hoy, nuestra @PNCSV interceptó a los otros 4; uno de ellos fue abatido en el operativo, los otros 3 han sido capturados.

Los capturados son: José Héctor Bernal, alias ""Negro"" (en el hospital desde el día del atentado) Gabriela Esmeralda Solis Geovanny Chigüila Olmedo, alias ""Chimba"" Gustavo Gerardo Castro (menor de edad) Rodolfo Alfredo Mejía, alias Robiño (fallecido)

Estos asesinos estaban escondidos en un mesón. Cuando nuestras Fuerzas Especiales ingresaron, el terrorista ""Robiño"" disparó contra nuestros agentes, pero fue abatido al instante. Nuestros policías están ilesos."
313,"Resumen de la conferencia de prensa de ayer en la noche, luego del asesinato de 3 policías perpetrado por terroristas de la 18-S."
314,"El pandillero herido, José Héctor Bernal Colocho, alias Negro, en custodia y que participó en el asesinato de nuestros héroes, salió de la cárcel por cumplimiento de condena el 24 de marzo, 3 días antes del Régimen de Excepción. Piensen en eso antes de pedir liberaciones."
315,0 homicidios. Seguimos… #GuerraContraPandillas
316,"Les presento la construcción del: CENTRO DE CONFINAMIENTO DEL TERRORISMO En esta #GuerraContraPandillas y gracias al Régimen de Excepción, hemos arrestado a más de 40,000 terroristas. Pero aún falta camino por recorrer…

Sin embargo, hemos logrado traer paz, tranquilidad y libertad de circulación a nuestra gente y llevar la tasa de homicidios de nuestro país, en estos 3 meses, a la más baja de Latinoamérica (sin contar los pandilleros muertos en ataques contra nuestras fuerzas de seguridad).

Pero así como al inicio de la pandemia construimos en tiempo récord el hospital más grande de Latinoamérica para atender pacientes de COVID19, ahora debemos construir un centro penitenciario para internar a los decenas de miles de terroristas que acechaban nuestro país.

Son muchos los factores que deben salir bien y a tiempo para poder ganar la #GuerraContraPandillas y la construcción de un gigantesco Centro Penitenciario es uno de esos factores."
317,Hoy cumple 3 años el #PlanControlTerritorial y sus 3 principales logros son innegables: 1. Salir de los países más violentos del mundo en el 2021. 2. Contar con los elementos para que la #GuerraContraPandillas sea posible. 3. Garantizar que la paz sea sostenible a largo plazo.
318,"Tasa de homicidios por cada 100,000 habitantes en los países más peligrosos del mundo… De 1991 a 2021. Así tenían a nuestro país y así fue cambiando desde que iniciamos nuestro Gobierno. Y ahora, con la #GuerraContraPandillas, todo está mejorando mucho más. Seguimos…"
319,"Sin la Fases 1, 3 y 4 del #PlanControlTerritorial, sería IMPOSIBLE tener los resultados que estamos teniendo en la #GuerraContraPandillas ¿Les gustaron los YAGU? Pues ya vienen en camino los SandCat… Y después vendrán en camino otros, pero esos se los muestro luego 😉

Las pandillas no se imaginaron que ya sabíamos que intentarían evolucionar en una guerrilla. Eso fue propuesto por Raúl Mijango al gobierno de Mauricio Funes y el FMLN y aceptado. Por eso recibieron entrenamiento militar en los polígonos de tiro, por eso les entregaron armas.

Documentos de inteligencia muestran todo el plan, con el fin de llevar a una segunda falsa negociación de paz y convertir a las pandillas en partido político, repartiendo el poder en 3. Paolo Lüers fue el encargado de convencer a ARENA. La OEA estuvo de acuerdo.

Por eso pedimos vehículos y equipo para guerra rural desde 2019 (aunque los fondos fueron aprobados hasta que llegó esta asamblea en 2021). Por eso las Fases 5, 6 y 7 del #PlanControlTerritorial aún son secretas. ♟"
320,"Todas las fotografías en este hilo corresponden a solo 1 de los más de 100 campamentos desarticulados en las últimas semanas. Este solo es uno de tantos, fue encontrado hace apenas unas horas."
321,"En todos ellos se encuentra armamento, droga, dinero, equipo de comunicación, documentos de extorsión y por supuesto pandilleros, quienes en casi todos los casos, abren fuego contra nuestros héroes."
322,"Esta “evolución” la hacen bajo el auspicio de organismos internacionales, ONGs y de la oposición, quienes les dan cobertura legal, mediática, política y financiera. Pero no lo vamos a permitir. Nuestra @PNCSV y @FUERZARMADASV están desarticulando de 3 a 4 campamentos diarios."
323,"Las capturas de pandilleros se están dando cada vez más en campamentos clandestinos en zonas rurales. Está claro que las pandillas están tratando de evolucionar hacia una guerrilla, ya que les es imposible enfrentar a nuestros agentes y a nuestras tropas en las zonas urbanas."
324,24/7 🇸🇻
325,0 homicidios. Seguimos… #GuerraContraPandillas
326,Junio ya va en su tercer día y aún no lleva un tan solo homicidio. Seguimos… #GuerraContraPandillas
327,0 homicidios. #Seguimos
328,"Muchas de las armas que financiaron desde el exterior para asesinar a nuestro pueblo, siguen en las calles, en las zonas rurales, en escondites y en manos de los criminales. Luchamos contra un mal que alimentaron durante 40 años, en la llamada “guerra” y en la llamada “paz”."
329,"Tuvieron que repetir la encuesta, pero les salió peor 😎"
330,0 homicidios. #Seguimos
331,Este es un momento único… #Seguimos
332,0 homicidios. Seguimos… #GuerraContraPandillas
333,La riqueza del crimen puesta en contra del crimen. El Salvador pronto será un modelo de seguridad para ser replicado en otros países.
334,"De acuerdo a las casas encuestadoras internacionales, el apoyo está por encima del 90%, pero es interesante que una institución que ataca al Gobierno día y noche, acepte esto. Seguimos… #GuerraContraPandillas"
335,🇸🇻
336,Estamos logrando lo que nadie pensó que sería posible. Seguimos… #GuerraContraPandillas
337,"0 homicidios (por séptimo día consecutivo). Una pequeña comparación: en todos los 5 años del Gobierno anterior, no hubo un tan solo día con 0 homicidios. Llevamos 7 días sin homicidios en una semana. Seguimos… #GuerraContraPandillas"
338,0 homicidios. Seguimos… #GuerraContraPandillas
339,0 homicidios. Seguimos… #GuerraContraPandillas
340,"Nuestra Fuerza Naval dio otro golpe al narcotráfico, a 488 MN (903.7 kilómetros) al suroeste de nuestras costas. Un LPV con tres personas abordo, dos ecuatorianos y un colombiano, que transportaba 810 kilos de cocaina, valorada en $20,250,000.00. #PlanControlTerritorial

Mensaje a los criminales internacionales: No vengan a buscar problemas acá."
341,"Los terroristas son idiotas, definitivamente 🤦🏻‍♂️"
342,"Cerramos el martes 10 de mayo, con 27,831 terroristas capturados, en solo 46 días. Seguimos… #GuerraContraPandillas"
343,0 homicidios. Seguimos… #GuerraContraPandillas
344,Dios bendiga a nuestra Fuerza Armada. ¡Feliz Día del Soldado Salvadoreño! 🇸🇻
345,0 homicidios. 2 pandilleros muertos. Seguimos… #GuerraContraPandillas
346,"Más de 25,000 terroristas capturados en solo 41 días. Seguimos… #GuerraContraPandillas"
347,Seguimos… #GuerraContraPandillas
348,La necedad de los pandilleros es increíble. Como si les gustara morir…
349,En El Salvador no se tolerará ningún tipo de delito. No vengan a buscar problemas acá.
350,"Este día, nuestra Fuerza Naval ha realizado otra incautación de droga. A 310MN (574km) al sur de La Concordia. Interceptaron una lancha con 6 mexicanos abordo y 800 kilos de cocaína, valorados en 20 millones de dólares. #PlanControlTerritorial"
351,"Se cayó del techo.

Literalmente, cayó por su propio peso."
352,🤔
353,"Los pandilleros dicen ser una “familia”, pero una familia no le hace eso a uno de sus integrantes. No se confundan, no son ninguna familia, son una organización terrorista internacional. Para sus jefes, un pandillero común es una pieza descartable. Para nosotros, un criminal."
354,"-“Hola señor soldado, como puede ver no soy miembro de ninguna pandilla” •“A ver…”"
355,6to día consecutivo con 0 homicidios. Seguimos… #GuerraContraPandillas
356,"Nuestra @PNCSV y @FUERZARMADASV han superado las 20,000 capturas desde el inicio de la #GuerraContraPandillas Hasta las 7pm de este día, el total de terroristas capturados es de 20,290, en solo 33 días. Seguimos...

El saldo de pandilleros presos, luego de 30 años de sufrir el flagelo de estas estructuras terroristas, era de 16,000. En solo 33 días, hemos llevado ese número a más de 36,000. Seguimos… #GuerraContraPandillas"
357,"Hasta hace poco, los pandilleros mostraban orgullosos sus tatuajes, les daba estatus, identidad, rango y les servían para atemorizar a sus víctimas. Ahora se queman el cuerpo para tratar de ocultarlos… De igual manera, irán a envejecer a la cárcel. Sus delitos no prescriben."
358,"Más de 1,000 capturas de terroristas por tercer día consecutivo. 1,400 solo este día. Más de 19,000 en solo 32 días. Seguimos… #GuerraContraPandillas"
359,5to día consecutivo con 0 homicidios. Seguimos… #GuerraContraPandillas
360,"Este pandillero se escondió entre ladrillos, hasta tenía su sabana para dormir ahí adentro. Dan lástima, hasta que uno se acuerda de que el requisito para ingresar a la pandilla es asesinar, ya no se diga todos los crímenes que cometen después. Le tocará envejecer en la cárcel."
361,"Segundo día consecutivo con más de 1,000 capturas de terroristas. Más de 18,000 en solo 31 días. Seguimos… #GuerraContraPandillas"
362,0 homicidios por 4to día consecutivo. Seguimos… #GuerraContraPandillas
363,"Nuestra @PNCSV capturó en Santa Ana a José Manuel Bonilla, alias ""Mercenario de Stoner"", otro de los 15 cabecillas nacionales de la MS, quien ordenaba asesinatos a los terroristas. Tenía órdenes de captura por homicidio y extorsión. Le esperan más de 45 años en la cárcel."
364,"Más de 1,000 terroristas capturados solo en este día. Más de 17,000 en solo 30 días. Seguimos… #GuerraContraPandillas"
365,0 homicidios. Seguimos… #GuerraContraPandillas
366,"Si hay algo que debe dejarnos una gran lección, es quiénes salen a defender a esta escoria. Vean las organizaciones, las ONGs, los medios, los “gobiernos amigos”. Que nos sirva para que entendamos, de una vez, quiénes han estado siempre detrás del sufrimiento de nuestro pueblo."
367,"La Constitución exige que el RÉGIMEN DE EXCEPCIÓN sea aprobado por 2/3 de los diputados (56 de los 84) y 3/4 (63 de los 84) para aprobarlo en toda su extensión. Y fue aprobado por más, por 67 de los 84 (80% de los diputados). LA DEFINICIÓN DE DEMOCRACIA."
368,"Y con la ayuda de Dios, el 2022 será aún mejor."
369,¡Presos políticos!
370,Cayó otro de los líderes nacionales de la MS13. Seguimos… #GuerraContraPandillas
371,"Más de 16,000 terroristas sacados de las calles, en solo 29 días. Seguimos… #GuerraContraPandillas"
372,0 homicidios. Seguimos… #GuerraContraPandillas
373,"En este momento, estoy convocando al Consejo de Ministros para que solicite a la Asamblea Legislativa, la ampliación del RÉGIMEN DE EXCEPCIÓN por 30 días más."
374,La estrategia de las pandillas es idéntica a la de la oposición y las ONGs de “derechos humanos”. 🤔
375,Hay algunos a los que cuesta encontrarles los tatuajes…
376,"Pandillero usa varias capas de maquillaje, para tratar de ocultar sus tatuajes 😂"
377,"Más de 15,000 terroristas capturados en solo 27 días. Seguimos… #GuerraContraPandillas"
378,"91% of Salvadorans support our actions against gang members, according to the latest poll published today by Gallup."
379,"91% de los salvadoreños apoyan la #GuerraContraPandillas que impulsa nuestro Gobierno, de acuerdo a la encuesta publicada hoy por CID Gallup."
380,"Más de 14,000 terroristas fuera de nuestras calles, en solo 25 días. Seguimos… #GuerraContraPandillas"
381,"13,573 terroristas en solo 24 días. Seguimos… #GuerraContraPandillas"
382,"La Semana Santa más segura en toda la historia de El Salvador 🇸🇻 Por cierto, asumí como Presidente el 1 de junio de 2019. Seguimos… #GuerraContraPandillas"
383,Desde ayer superamos la meta de turismo interno para Semana Santa. Y aún falta contabilizar los días más fuertes: sábado y domingo. Serán cifras récord. Todo en medio de un Régimen de Excepción para combatir el crimen. La realidad se ve. Por más que mienta la oposición.
384,"Las playas, turicentros, parques, sitios turísticos, pueblos, todo a reventar. Volvimos a demostrar que la oposición mentía cuando decía que el régimen de excepción era contra la gente honrada. Siempre lo dijimos: el régimen de excepción es contra las pandillas. Y así fue.

Todos los lugares turísticos abarrotados. En medio de un régimen de excepción, solo hay una explicación: La gente se siente más segura sin los pandilleros en las calles y eso permite que disfruten sus DERECHOS, que les habían sido coartados por los pandilleros y sus defensores."
385,"Más de 12,000 terroristas capturados en solo 21 días. Seguimos… #GuerraContraPandillas"
386,"Tal y como lo advertimos: Esta vez, no saldrán libres. Tal vez en 30 años… a los que no se les compruebe más delitos que el de pertenecer a la pandilla. Seguimos… #GuerraContraPandillas"
387,"Más de 11,000 terroristas capturados en solo 19 días. Seguimos… #GuerraContraPandillas"
388,0 homicidios. Seguimos… #GuerraContraPandillas
389,“Angelitos”
390,La esquina superior derecha de la cuarta foto 😮
391,"10,527 terroristas capturados en solo 18 días. Seguimos… #GuerraContraPandillas"
392,0 homicidios y un pandillero muerto. Seguimos… #GuerraContraPandillas
393,Otro…
394,"Ejemplo de alguien con cara de bueno que no tiene nada de bueno. Si queremos ganar esta guerra, debemos dejar que la Policía y la Fuerza Armada hagan su trabajo. Eso no quiere decir que no haya errores, en todos los países del mundo los hay. Si no, no existieran los juicios."
395,"10,094 terroristas arrestados en 17 días. Seguimos… #GuerraContraPandillas"
