No.,Texto
11,Que sea la paz en Nariño.
12,Nos merecemos una vida en Paz.
13,"Gracias señor Procurador por su apoyo a la Paz total de Colombia, que no es un sueño, sino el deber constitucional de ser como la inmensa mayoría de las naciones de la tierra: sociedades pacíficas."
14,"Apagando las armas en Nariño. El frente Comuneros del sur del ELN, decide abrazar la paz y ayudar a transformar el territorio de Samaniego en Nariño, saliendo de la economía ilícita."
15,El 10% de la gasolina refinada en Ecopetrol se vuelve insumo de la producción de cocaína. Es el momento de una acción seria para desmantelar las mafias de la gasolina.
16,"Destruimos una tonelada de armas en el.primer gran éxito de la política de paz total. Bienvenidos a la paz al frente comuneros del sur del ELN, en Nariño. Transformar el territorio en favor del pueblo es la paz"
17,"Estoy en Pasto, Nariño, donde presentamos el primer hecho grande la paz total. La entrega de una tonelada de armamento y la fase avanzada de desmovilización de la violencia del frente Comuneros del Sur del ELN. Que puede avanzar con la segunda Marquetalia. Un 41% se ha reducido el homicidio en la zona de paz y avanzaremos ahora a la transformación de 5.000 hectáreas de siembra de hoja de coca, en cultivos licitos, de las 7.000 hectáreas."
18,"En operaciones conjuntas con la DEA y la Policía Nacional, cayó muerto, el quinto cabecilla del Clan del Golfo, quinto a la derecha del video y quinto en la línea de mando del Clan.

El Clan tiene como prioridad el narcotráfico, la trata de migrantes en el Darién, ya muy reducida, y la extorsión generalizada en el Caribe colombiano

Alias Chirimoya, se llama José Miguel Demoya Hernández, otro colombiano que cae muerto solo por dejar ganar su corazón de la codicia. Adicionalmente en el Putumayo.cayeron en el bus que los transportaba y retén de la policía nacional, 9, nueve, integrantes de "" comandos de la frontera"""
19,"Capturados por la policía nacional nueve integrantes de comando de la frontera, con sus nueve fusiles. En Portugal, con ayuda de la policía nacional se incauta casi 7 toneladas de cocaína."
20,"La conmoción interior esta rindiendo frutos: congelada la ofensiva militar del ELN. Aunque se alista al ataque. Posibilidad de finiquitar el proceso de paz con el frente 33 Más de 7.500 hectáreas de hoja de coca inscritas en el programa de pagos por erradicación voluntaria de matas de coca. Y, empieza el retorno del campesinado a sus zonas"
21,"El que el dialogo de paz de Itaguí, haya eliminado las fronteras invisibles en las comunas populares de Medellín de manera definitiva es un paso hacia la libertad en los barrios de la gente trabajadora y pobre de la ciudad. Libertad es el objetivo de la democracia. Los procesos de paz con bandas de Medellín, Santa Marta y con organizaciones armadas en Nariño, se enmarcan en la estrategia de eliminación de economías ilícitas y respeto a la población civil que reduce la violencia sustancialmente.

Los procesos de paz sociojurídicos deben contar la presencia de fiscalía y procuraduría para su finalización"
22,"El ELN crece con mercenarios. Es la modalidad del traquetismo. Pero no solo el mercenarismo es une expresión de debilidad y aislamiento del pueblo: todo ejército mercenario es débil; no solo es una demostración que los cuantiosos recursos que se necesitan para configurar una fuerza mercenaria provienen es del narcotráfico: imposible sostener una fuerza mercenaria con el simple apoyo campesino; sino que es el narcotráfico el que termina dirigiendo la fuerza mercenaria y coloca sus obletivos, que no son más que los de cuidar el negocio ilícito.

Es por esto que el ELN nacido en el Catatumbo, terminó matando decenas de campesinos del Catatumbo, se convirtió, no en la guerrilla insurgente del campesinado, como era antes, sino en ejército de ocupación de origen extranjero, como es ahora. Por eso unilateralmente el ELN decidió romper las rondas de negociaciones. La paz no sirve para los negocios ilícitos, sirve es al pueblo.

Es por esto que las negociaciones de paz deben tener como eje fundamental, no el cese al fuego con el gobierno, sino el desmantelamiento de la economía ilícita y el respeto a la población civil

Siendo la fuerza mercenaria compuesta por extranjeros y dirigida por extranjeros, se configura el mayor peligro para la soberanía nacional y la integridad del territorio colombiano en sus fronteras.

La violencia en Colombia se ha acorralado a través del tiempo en las zonas de frontera y los puertos.

Pero esta geografía de la violencia, que desde el punto de vista poblacional es pequeña, guarda correlación exacta con las rutas el narcotráfico.

No es una violencia insurgente, es una violencia cimentada en la economía ilícita, que es la nueva fase de la violencia en Colombia

La violencia acaba si se acaba la economía ilícita. 

La economía ilícita se acaba si se legaliza, caso de la canabis, cuya violencia innecesaria y su poder de financiación de armas y muertes, se perpetúa por la decisión del congreso de no legalizar, o se termina sustituyendo lo ilícito por lo lícito, y aquí depende del campesinado cultivador de  hoja de coca y la alianza estrecha que se pueda establecer con el gobierno para lograr economías prósperas agroindustriales lícitas.

La transformación de los territorio excluídos es aquí fundamental y le ha hecho mucho daño, las políticas gubernamentales y del ministerio del transporte que han priorizado la inversión en recursos en autopistas alrededor de Bogotá y Medellín, que en las carreteras de la paz qué hoy prácticamente no existen.

La propuesta de aumentar del 22 al 39% los recursos que del total de los ingresos corrientes de la nación van a los municipios, y que tomó este gobierno y el congreso actual, reformando la constitución, indudablemente es arriesgada y muy audaz, pero puede lograr la paz, si la ciudadanía cuida los recursos locales y sectores grandes de la sociedad dejan de vender el voto y eligen lo mejor que crean de sus regiones. Habrá de aquí y en los 10 años siguientes muchísimo más dinero manejado  en los municipios del país, de hecho los presupuestos de educación y salud han crecido, en términos reales, como nunca antes y tienen niveles nunca alcanzados, y están en manos de alcaldes y gobernadores

Si muchos, de los llamados técnicos de los ministerios y planeación ubicados en Bogotá, concentraron los recursos en grandes corrupciones  y en un centralismo ineficaz que no llega ni siquiera al mar, que las ciudadanías regionales y movimientos sociales puedan construir la prosperidad de sus regiones y por tanto construir paz.

Se abrirá, por tanto, la discusión de la gran descentralización nacional, a través del proyecto de  ley de competencias, que quiero se abra a la más amplia discusión pública, para cumplir con el acuerdo de paz ya firmado y con la posibilidad de la paz total en Colombia.

https://caracol.com.co/2025/04/02/eln-estaria-ofreciendo-altas-sumas-de-dinero-a-venezolanos-para-que-unan-a-sus-filas-en-el-catatumbo/?s=09"
23,"Se recuperan estas 800 hectáreas, ilegalmente ocupadas por terratenientes de Córdoba, nos ayuda la policía nacional La policía debe cuidar el patrimonio público. Los baldíos son patrimonio público Estas tierras serán entregadas a campesinos de Córdoba"
24,Incautación de 49 toneladas de Coltán. Esta es la minería ilegal que desarrollo alias Iván Modisco y que estanos desmantelando.
25,"Aquí, con la incautacion de 0,6 toneladas de cicaína en el puerto de Buenaventura, descubrimos una nueva ruta. La cocaína salió de un puerto ecuatoriano, paso en escala intermedia al puerto de Burnaventura e iba posiblemente para China.

El uso del puerto de Buenaventura para exportar cocaína y entrar contrabando proveniente del este asiático, muestra la necesidad imperiosa de hacer un acuerdo policial entre China y Colombia."
26,"Por que la JEP no recibe versiones de paramiliares, y se reduce a exguerrileros y militares, cuando el acuerdo de paz, dice que podrían citar hasta a narcotraficantes? Creo que aquí hay una de las grandes barreras a la eficiencia judicial y a la verdad"
27,"En los últimos tres días la policía capturó en 8 departamentos 92 estorxionistas y 38 secuestradores. Cayeron personas dedicadas a la delincuencia del ELN, del clan del Golfo y otro tipo de bandas y organizaciones."
28,"En Andes y Medellín (Antioquia), la Policía Nacional en coordinación con la Fiscalía General y el Ejército Nacional, realiza la captura de Óscar de Jesús Madrid Usma, y Cristian Ricardo Benavides, integrantes del ELN. Coordinaban logística para los frentes de Antioquia y Chocó"
29,Mata más la contaminación del aire por diésel y gasolina en Colombia que la violencia.
30,"Informo a la opinión pública que el programa por erradicación voluntaria de matas completas de hoja se coca ha arrancado con éxito. Se han inscrito campesinos con 7.200 hectáreas en el Catatumbo y campesinos con 546 hectáreas en Argelia, Cauca. Si el programa se consolida será la paz en estas regiones."
31,"La Policía Macional captura a Ronald Fernando Acosta Cuesta, en Garagoa, Boyacá, miembro de la Junta del Narcotráfico. La junta del narcotráfico es una organización multinacional con varias actividades delictivas. Alias Rony estaba al servicio de la mafia italiana la D'raguetta, transportando cocaína entre Calabria y Milán. Felicitaciones a la policía Nacional y a Interpol. Hoy hay varios cabecillas de la junta del Narcotrafico con residencia en Dubai, EAU. Han cambiado su Miami, por un nuevo Miami: Dubai."
32,"La Policía Nacional capturó a Mateo Sebatian Pintor, en Rionegro, Antioquia, cabecilla extorsionista de la Mara18. Será extraditado al Salvador. Adicionalmente la Armada logró incautar dos toneladas de coacaína en el Pacífico."
33,"Ordené realizar una operación con bombardeo sobre estructuras armadas del clan del golfo en Segovia, Antioquia. En las veredas Arenales y Montefrio, Segovia, Antioquia. Unidades del ejército y la fuerza aeroespacial atacan al Clan del Golfo, compañía móvil Jairo Julio De Hoyos y Subestructura Manuel Alexander Ariza Rosario. Resultados; nueve integrantes muertos, uno capturado, 13 fusiles incautados.

Murió allí el cabecilla Manuel Alexander Ariza Rosario alias: Hitler y el segundo al mando Jairo Julio de Hoyos, alias Neym

Esta unidad del clan ya había participado en la emboscada de las fuerzas especiales al ejército y en la desaparición y después asesinato de muesyro compañero Gallego de la Colombia Humana, líder en Segovia.

Felicitaciones a las tropas que participaron en la operación"
34,"Es la verdad lo que necesitamos. No es la cárcel vista como castigo, es la verdad porque se puede destruir todo el entramado del contrabando en Colombia. Esta bien que el ""pitufo"" se someta a la justicia porque necesitamos todo la verdad. Fiscal que no busque la verdad y no utilice el sometimiento a la justicia, es fiscal que quiere que todo quede oculto.

¿Por qué le temen a la verdad? Si esa es la función esencial de la Justicia"
35,"Se transformaron los jóvenes de convivencia y paz en ""guardianes del orden en Bogotá"". No entiendo el paso a la derecha del nuevo liberalismo qué, no es un asunto simple de palabras, sino de concepción y déficit democrático. Los jóvenes de la ciudad, de lo más preparados del país, pero sin grandes universidades públicas, excluidos, no se les trata con bolillo y rejas.

Nunca le oí a Luis Carlos Galán la falsa y muy conservadora tesis que el empleo crece a partir de bajos salarios como dice un grupo de la universidad javeriana. 

Esa tesis la han criticado los últimos premios nóbeles de economía, porque no se verifica con los datos reales. No se como el nuevo liberalismo llegó a esa involución tan dramática.

Ahora propone tener salarios bajos, pero además, sabedor que eso desencadena conflictos con la juventud trabajadora, elimina el mecanismo de resolver dialogadamente los conflictos, que es uno de los grandes logros de Bogotá, logrado antes que llegarán los últimos gobiernos de derecha, y vuelve a recurrir a una policía no preparada para el conflicto social y que dejó muchos jóvenes muertos en la ciudad.

Trato de preparar una policía para el conflicto que sepa dialogar y unos jóvenes de convivencia en todo el país que se especialicen también en el tratamiento pacífico de los conflictos. Así hemos resuelto problemas dificilísimos, por ejemplo, en el Micay.

El conflicto social no se trata con represiones porque se cosecha muertos. El conflicto social no es más sino una oportunidad para avanzar con una sociedad viva.

A las convivires se opuso Galán, padre, porque sabía que no eran sino organizaciones paramilitares del narcotráfico que reproducían  y amplificaban el crimen a nombre del estado. 

Ese tipo de organizaciones concebidas  como seguridad para la muerte, ubicadas en el magdalena medio, terminaron asesinando a Luis Carlos Galán."
36,"Entrego 8 mafiosos colombianos, entre ellos el hijo del Alacrán. Son aliados de mafias mexicanas y con grupos que se autedenominan revolucionarios, pero son simplemente mafiosos. No me gusta sentirme como carcelero y menos entregar a otras potencias gente colombiana, pero estas personas hacen mucho daño a la sociedad colombiana porque su codicia los lleva a matar gente inocente y a aprovecharse del diferencial de precios, entre costos y precio final en el mercado extranjero, de sustancias que políticamente son prohibidas. 

La prohibición le hace mucho daño a la sociedad consumidora porque desvían los recursos de la prevención hacia burocracia que también se vuelven, en parte, traficantes o hacia cárceles qué encierran pueblos que consideran inferiores o empresas privadas de carceleros.

Por eso es absolutamente sabio el grafitti aquel que dice que el Estado crea el crimen 

Por eso he hecho que Colombia luche contra la prohibición. Para liberarnos y volvernos mucho más sanos en el mundo y aportarle en mucho a la humanidad.

El punitivismo ha sido uno de los peores errores de nuestra historia."
37,"Cuando era rebelde armado amenazaba con que algún día el pueblo decidiría en Colombia y no la oligarquía. Luego la oligarquía se entregó a la mafia, mató a Galán y a Pizarro y a Jaramillo y decidió la mafia. Hicieron un genocidio en Colombia. Hicimos la paz y la constitución para que el pueblo decidiera. Ahora el pueblo va a decidir. Fuera la mafia política. Es hora de la esperanza y la paz."
38,"Miles de millones costó el gas para dispersar y golpear la juventud y las tasa de interés del sobrendeudamiento externo y subsidiar la gasolina de las camionetas cuatro puertas, millones de dólares costó Pegasus. La consulta salvará la paz de Colombia. Es invaluable y positivo que el pueblo participe y no se le golpee cuando se expresa. Valientes con las niñas que mataron y violaron pero cobardes con el pueblo y la democracia."
39,"El ejército privado de los carteles mexicanos en el cañón del Micay ha respondido con la mayor de las brutalidades en Balboa, Micay, matando a los soldados que llevaban parte del puente para el campesinado. La destrucción de la columna narcotraficante Carlos Patiño, es hoy una orden en pos de la soberanía de Colombia. Tomar la parte media y baja del cañón, y solicitarle al campesinado dejar de apoyar fuerzas extranjeras que buscan la destrucción de la patria colombiana.

Honor a los jóvenes que han muerto por su patria ayudando al pueblo campesino."
40,En el mar a 196 km de Cartagena se incauta 4 toneladas de cocaína por parte de la armada nacional. Ahora incautamos aun más alijos que el año pasado. La incautación esta articulada a la captura de los grandes capos nacionales y extranjeros que producen la muerte en Colombia
41,"La hoja de coca no es cocaína y se puede usar en múltiples usos sin el alcaloide. Por eso luchanos al llado de Bolivia, para que el mundo apruebe quitar la prohibición de la hoja y avanzar hacia usos legales de la hoja y la paz de muchas regiones del país."
42,"El proceso de paz más exitoso, se está dando en Medellín, entre sus juventudes populares."
43,"Revitalizar la selva amazónica en los llanos del Yarí, manteniendo el progreso campesino, es el acuerdo de paz que queremos en el Caquetá. Para los campesinos van 8.000 hectáreas. Espero a ""Calarcá"" cultivando arroz y arboles, que disparando fusiles. Es para ya."
44,El arte de la paz y el progreso de Colombia es dejar de producir cocaína y no caer más en la codicia que mata la vida. Por eso desplegamos una estrategia incluso universal. Esperamos que la humanidad nos ayude
45,"El ejército y su batallón de ingenieros llevan el puente que reemplazará el que el EMC dinámitó en contra de la comunidad en el Valle del Micay, Cauca. La transformación de la economía de la región es fundamental para la paz y el progreso del campesinado."
46,"El cañón del Micay está dominado por carteles mafiosos extranjeros que construyendo ejércitos privados construyen la obediencia y el silencio campesino, que logran con el engaño, la sujeción económica y el miedo. El campesinado decide, si se continúa con una economia ilícita que solo trae muerte de hijos y desesperanza, o, con el gobierno, y de manera voluntaria nos movemos hacia una economía para la Vida, de producción alimentaria agroindustrializada y con posibilidades de exportación.

Lo que no se nos puede exigir, porque actuaríamos contra la constitución, es permitir que poderes militares extranjeros se adueñan de territorio.

El campesinado del Micay como el del Catatumbo.y de todo el país deben ser los dueños legítimos del territorio donde habitan, nadie más.

El estado democratico en esos territorios se debe construir desde el mismo campesinado y bajo su decisión"
47,Desespero tiene el frente Carlos Patiño en el Micay y por eso utiliza la población civil. Su debilidad militar no le permite enfrentarse con el ejército. Esta abierto en el Micay el pago por erradicación voluntaria de cultivos y sus sustitución por productos legales y rentables
48,"El ejército avanza en el cañón del Micay, la toma del sitio: ""La Hacienda"" es estratégico, después de la recuperación del Plateado. El programa de sustitución de cultivos diseñado para el Catatumbo se extenderá a todo el cañón del Micay."
49,Lo que queremos es que el Catatumbo respire paz.
50,"Mi querida ""la silla vacía"" ustedes mismos demuestran lo que afirmé ante la desinformación difundida por el consejo Gremial, que ahí sí, ustedes no desmintieron; en la que decía, que había una crisis de violencia en mi gobierno. El consejo nacional Gremial mintió con perversa intención política.

Ustedes mismos demuestran lo que afirmé: hoy la tasa de homicidios, como se mide la violencia, es un 60% de la que dejó Uribe, es un 30% de la que dejó Cesar Gaviria y es menor que la que dejó Duque.

¿En que mentí?"
51,"Linares tiene razón en una cosa. El catatumbo es hoy una de las zonas de mayor producción de cocaína, por la negligencia del estado. Es un siglo de ausencia de reforma agraria, mientras dedicaban los recursos públicos a la doble calzada entre Gamarra y Ocaña para llenarse de sobornos, no invirtieron nada en la troncal del Catatumbo.

Mientras había que cuidar la frontera, decidieron abandonarla y cortar relaciones diplomáticas. Esta es la cosecha: el empoderamiento asesino del ELN contra la población.

 Entonces, ex magistrado Linares, ¿que hacemos? ¿Pedirle a la corte constitucional qué continúe el abandono del Catatumbo? O atenderla.

Le pide señor exmagistrado a la Corte Constitucional, que la Corte le dé la espalda al Catatumbo y los 2.7 billones que disponemos para la región, ya no se puedan recaudar. ¿Creemos así que esa negligencia histórica se acabe? O más bien, lo que propone Linares es que continúe el olvido y la negligencia.

Si el Estado le da la espalda al Catatumbo, tendremos el mayor riesgo de pérdida de soberanía del presente siglo."
52,"Hemos dispuesto por la peligrosidad latente en la región, que sea el mismo ejército nacional quien construya este año, en un tramo sustancial, la troncal del Catatumbo a la que se le entrega 200.000 millones de pesos de ingresos del decreto de conmoción. 

La troncal tiene como mayor finalidad, sacar rápidamente la producción lícita que sustituya los cultivos ilícitos hacia los grandes mercados del país.

Con una inversión de 360.000 millones para el pago por erradicar voluntariamente matas de hoja de coca y sustituirlas  paulatinamente por cultivos lícitos, cuyas semillas y plántulas, entregamos, más apoyos a la agroindustrialización y la carretera troncal; y con una inversión de  900.000 millones para el fortalecimiento operativo de las fuerzas armadas en la región con el objetivo de controlar la frontera y garantizar la soberanía nacional, afrontamos las causas de la conmoción, que no son más sino las del control sanguinario sobre la población para capturar las ganancias de la economía ilicita.

Al lado de este núcleo central de inversiones de la conmoción, garantizaremos en la brevedad del tiempo un incremento sustancial del derecho a la educación, la salud y la pensión en el área catatumbera.

La transformación del territorio es la construcción de la paz.

Este inicio del pacto social consultado con la población y aprobado por ella, es invitación para que quienes quieran abrazar la paz lo hagan.

Las organizaciones populares del Catatumbo y la ciudadanía en general, deben tener tranquilidad en sus garantías y libertades. La búsqueda de este gobierno es un Catatumbo sin violencia, donde el campesinado pueda trabajar con tranquilidad, organizarse en libertad, y prosperar como familia y como región."
53,"Esto es lo que el centro democrático y la Andi quiere que se paralice, al pedir tumbar la conmoción interior para el Catatumbo Es de una irresponsabilidad que yo llamaría apátrida. Les importa un bledo la soberanía nacional y la vida de la gente misma."
54,"Yo le pregunto a Paloma Valencia y a Bruce Mcmaster, si más de 71 cadáveres recogidos, la existencia de fosas comunes escondidas por el ELN, el desplazamiento de 55.000 personas de 400.000 que habitan en el Catatumbo, la existencia de una frontera que se dejó tirada, el asesinato de exfirmantes de paz, los crímenes contra la paz cometidos en el Catatumbo por el ELN, la necesidad de financiar la ofensiva del ejercito, debilitada por la ausencia de la ley de financiamiento, que tanto Paloma como Bruce, sabotearon; no son motivos de una conmoción interior en el Catatumbo?

¿Tan acostumbrados estaban a ver correr la muerte por Colombia por designio oficial?

¿Es esa la propuesta del uribismo ante el ataque del ELN? ¿Bajar los brazos, desproteger la población y esperar que controlen una de las principales zonas cocaineras del mundo?"
55,"Una enorme contradicción. No comparten el estado de conmoción en el Catatumbo, pero es el único que viabiliza los recursos para cumplir el pacto social del Catatumbo con el que si están de acuerdo. ¿Entonces? El pacto social del Catatumbo es un pacto de paz y como tal es una democratización del territorio que debe dejar de estar dominado por las armas.

Quien agredió con las armas el territorio del Catatumbo se llama ELN qué abandona la lógica del interés nacional y se inscribe en los crímenes de guerra. El pacto social del Catatumbo no fortalece al ELN sino a la ciudadanía desarmada. Si los actores armados que ocupan el Catatumbo quieren participar del pacto social entonces ya lo saben: a abrazar la paz y dejar la guerra."
56,"Todas las empresas de seguridad inscritas en cualquier gobierno, incluido el mio, en la superintendencia de seguridad deben ser reexaminadas."
57,"Aquí se demuestra una realidad oculta que expuse. La droga del Catatumbo entra a la alta Guajira y se exporta vía Haití a los EEUU. El gobierno norteamericano sabe que las bandas que desestabilizan sanguinariamente a Haití, se financian con la cocaína del Catatumbo y que esa droga, después, entra al estado de la Florida, desde donde mafias ordenaron el asesinato del presidente haitiano Juvenal con mercenarios colombianos.

Bajo esta realidad, no entiendo como el consejo de seguridad de naciones unidas impide que se ayude militar y policialmente al gobierno de Haití.

¿Quieren que se derribe el gobierno haitiano por acción de las bandas y luego invadir militarmente el pais desestabilizando todo el Caribe?

Le solicito a la ONU ayudar al gobierno haitiano

El ELN ya puede observar uno de sus logros: la destrucción de la cuna de la libertad de América: Haití, a partir de su exportación de cocaína del Catatumbo"
58,"Y porque no pensar de otra manera señores @elcolombiano: les propongo lo siguiente: Las grandes oleadas de violencia que sufrió Antioquia y Medellín están ligadas a la destrucción de la industria urbana y la economía cafetera, hecha por un grupillo neoliberal que gobernó Colombia y Antioquia y que pensó que todo consistía en tener tierra y no en hacerla producir

Este gobierno al proteger la industria de confecciones y calzado, del contrabando y la economía fósil, logró su reactivación y la disminución sustancial del desempleo en la ciudad capital de Antioquia y logró un crecimiento de la agricultura amtioqueña y su café de manera sustancial.

El crecimiento popular de la industria y el café han logrado disminuir sustancialmente los índices de violencia y Medellín ha logrado ser una de las ciudades  capitales menos violentas de Colombia.

Esta tesis esta sustentada en un ya viejo librito, que escribió un patriarca de Antioquia: Hernán Echavarria Olózaga, sobre la preferencia por la tierra en Antioquia como causa de la perdida del vigor industrializador. Un ensayo de aplicación de la teoría de Keynes a la economía antioqueña, que ha sido muy inspirador para mí.

Significa según el análisis de Hernan Echavarría Olózaga y mi experiencia como gobernante, qué el empuje emprendedor antioqueño estaba bloqueado por las mafias, los despojadores de tierras, la búsqueda del oro minero, y que programas como reforma agraria, estímulos a la producción afroalimentaria y protección de los lavadores de activos del contrabando, han disparado, lamfuerza emprendedora, la industria y agricultura y por tanto las oportunidades, la riqueza y la paz."
59,"La caída de Namoussir Mounir, enlace entre carteles colombianos y mexicanos con carteles de los balcanes, quien residía en Cartagena, muestra el grado de multinacionalización de las mafias de la cocaína. Hoy existen carteles mucho más poderosos que en la época de Pablo Escobar. El empoderamiento de las organizaciones mafiosas muestra el fracaso de la prohibición y de la ausencia de medidas alternativas a la simple prohibición.

Mi gobierno mantendrá con todos los gobiernos plena colaboración en materia de incautación de cocaína. Y ha enfocado y enfocará su acción en grandes envíos y en altos capos tanto de la cocaína como del lavado de activos a nivel mundial.

Le solicito al congreso de Colombia legalizar la marihuana y sacar este cultivo de la violencia. La prohibición de la marihuana en Colombia solo trae violencia.

Le solicito a los gobiernos del mundo acabar con la prohibición del uso de la hoja de coca para fines diferentes a la cocaína en Naciones Unidas.

Si la hoja de coca se utiliza en abonos, alimentos y otros usos; mejora la política de sustitución de lo ilícito"
60,"¿Y tuvo el cuidado de preguntar si las cifras de homicidios incluyen el homicidio no intencional en accidentes de tráfico, presuntos suicidios por investigar, etc? Porque si no tuvo el cuidado, esta sumando peras con naranjas. De paso le pongo una tarea: busque la cifra promedio de tasa de homicidio intencional durante el gobierno de Uribe y compárela con la del año pasado para ver que conclusión saca y se lo cuenta a sus seguidores."
61,"Una parlamentaria y un periodista que la repite, tratan de insinuar que hay manipulación de cifras en el número de homicidios que se presentan, olvidando cosas tan básicas como que cuando se trata de observar el comportamiento del homicidio intencional, no se puede confundir sus cifras con las cifras de homicidios no intencionales en accidentes de tráfico o suicidios y otras cifras.

Importantes las otras cifras para otras materias de análisis, pero en relación a la violencia, queremos tener las cifras de homicidio intencional y su comportamiento en el tiempo.

Así que las cifras de homicidios intencional vienen bajando en Colombia desde 1993 y las de la paz total son un 66% de las de la seguridad democrática"
62,Caen dos toneladas de cocaína en el Atlántico.
63,"Si se compara la tasa de homicidios promedio anual del gobierno Uribe con lo que va de mi gobierno, hay que concluir, a diferencia de Camilo Sanchez, y así no le guste: La seguridad democrática fue un fracaso y la paz total esta cosechando éxitos."
64,"La inmensa mayoría de los departamentos de Colombia han visto bajar la tasa de homicidios en su región Puede afirmarse que el delito cambia de estructura, pero mientras disminuyan los delitos contra la vida, estamos mejorando y esa, es la situación en la mayoría de los departamentos."
65,"El nivel de desinformación de la prensa nacional llega a máximos. Quiere hacerle creer a la población que estamos en una crisis de violencia. No señores. La violencia baja en Colombia

Estas son las tasas de homicidios de los gobiernos de Cesar Gaviria, de Álvaro Uribe Vélez comparadas con las de mi gobierno."
66,Ninguna institución del gobierno debe incidir ni presionar a nadie en procesos penales.
67,"Ayer el consejo Gremial empresarial le dijo una gran mentira a los colombianos. Que había una crisis de violencia. Tenemos sí.. focos regionales de violencia, pero que nadie olvide esto. La tasa de homicidios de Colombia en este gobierno es menor que la de Duque y que la de Uribe

Hoy tenemos un 66% apenas de la tasa de homicidios de Uribe. Vamos hacia la Paz."
